Name,Address,Phone,Email,Previous_ID
Andrew Casanova,222 Adams Boulevard,845-457-5494,rosepetal13@gmail.com,0
Steve Tedford,444 Daisy Court,845-457-5494,wolfman21@hotmail.com,1
Steve Tedford,222 Adams Boulevard,845-457-5494,livenation@gmail.com,2
Steve Tedford,333 Miller Road,703-398-6403,wolfman21@hotmail.com,3
Jada Pinkett,111 Apple Orchard Ave,703-398-6403,rosepetal13@gmail.com,4
Lindsey Tagg,444 Daisy Court,845-457-5494,america21@hotmail.com,5
John Smith,333 Miller Road,713-456-1234,america21@hotmail.com,6
John Smith,222 Adams Boulevard,713-456-1234,rosepetal13@gmail.com,7
Lindsey Tagg,333 Miller Road,845-457-5494,rosepetal13@gmail.com,8
Jada Pinkett,222 Adams Boulevard,703-398-6403,rosepetal13@gmail.com,9
